Simulation,Loss,Average Entering Time
0,N/A,38.410000000000274
1,N/A,35.51000000000023
2,N/A,37.79000000000027
3,N/A,39.140000000000285
4,N/A,35.82000000000024
5,N/A,35.43000000000022
6,N/A,37.540000000000234
7,N/A,36.28000000000024
8,N/A,39.64000000000029
9,N/A,36.88000000000026
